,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
417,hoppup,red,34,799,4999,4.0,4324,84
418,izwi,blue,34,807,5490,5.0,4,85
419,sony,white,20,6990,12990,4.1,966,46
420,aroma,electric black,50,479,2999,4.0,538,84
421,boult,ivory white,48,899,2999,4.1,131863,70
422,oneplus,obsidian black,34,8999,11999,4.0,1514,25
423,boat,black sabre,30,1299,3299,4.0,23373,60
424,beats,matte black,34,6848,6900,4.1,79,69
425,mivi,blue,45,799,2999,4.0,10475,73
426,aroma,white,60,493,2899,4.0,538,82
427,noise,midnight blue,50,799,2999,4.0,599132,73
428,snowbudy,blue,34,630,2990,4.0,42,78
429,triggr,green camouflage,40,1099,3999,4.0,12491,72
430,aroma,electric green,50,479,2999,4.0,538,84
431,boult,lavender,48,799,2999,4.1,460,73
432,beats,storm grey,34,6900,4739,4.1,79,69
433,just,white,34,1079,3499,4.2,9,69
434,hoppup,blue,50,799,4999,4.0,1016,84
435,house,white,34,391,1999,4.6,14,80
436,aroma,galaxy green,60,493,2899,4.0,538,82
437,triggr,jungle green,40,599,2999,4.0,42330,80
438,edyell,green,48,1119,5999,4.0,146,81
439,oraimo,space gray,43,2799,11999,4.0,8358,76
