,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
262,U7,"Black, True Wireless",,₹486,"₹1,999",5,(5),75% off
263,SONY,"Black, True Wireless","('20H', 'H')","₹4,490","₹8,990",4.1,"(12,729)",50% off
264,TRIGGR,"Black Inferno, True Wireless",,"₹1,099","₹3,999",4.2,"(2,392)",72% off
265,SONY,"Sage Green, True Wireless","('20H', 'H')","₹6,990","₹12,990",4.1,(966),46% off
266,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
267,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
268,PTron,"Blue, True Wireless","('45hrs', 'hrs')",₹699,"₹3,199",4.1,(64),78% off
269,LAVA,"Blue, True Wireless",,"₹1,249","₹2,499",4.1,(15),50% off
270,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
271,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
272,Noise,"Aura White, True Wireless","('60 Hours', 'Hours')","₹1,499","₹4,499",4,"(5,452)",66% off
273,Number,"Grey Forest, True Wireless","('66H', 'H')","₹1,299","₹7,999",4.1,"(2,039)",83% off
274,realme,"Youth White, True Wireless",,"₹1,799","₹3,999",4.3,"(1,18,090)",55% off
275,Noise,"Black, True Wireless",,₹999,"₹3,999",4,"(1,101)",75% off
276,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
277,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
278,house,"White, True Wireless",,₹389,"₹1,999",4,(47),80% off
279,TecSox,"White, True Wireless","('40hrs', 'hrs')","₹1,178","₹5,999",4.3,(28),80% off
280,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
281,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
282,Mivi,"Crystalline Blue, True Wireless",,"₹2,199","₹6,499",4,"(1,636)",66% off
283,TRIGGR,"Indigo Honey, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
284,Number,"Glass Orange, True Wireless",,₹899,"₹4,999",4,"(21,438)",82% off
285,boAt,"Viper Green, True Wireless","('60 hours', 'hours')",₹999,"₹2,990",4,"(19,47,168)",66% off
286,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
287,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
288,SONY,"Orange, True Wireless","('20H', 'H')","₹4,490","₹8,990",4.1,"(12,729)",50% off
289,U7,"Black, True Wireless",,₹473,"₹1,999",4.1,(8),76% off
290,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
291,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
292,truke,"Champagne Gold, True Wireless","('48H', 'H')",₹799,"₹2,499",4,"(12,252)",68% off
293,Marshall,"Black, True Wireless","('30HRS', 'HRS')","₹17,999","₹19,999",4.1,(42),10% off
294,Noise,"Coal Black, True Wireless","('50H', 'H')","₹2,499","₹5,499",4,"(3,857)",54% off
295,SONY,"Silver, True Wireless",,"₹22,990","₹29,990",4.2,(349),23% off
296,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
297,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
298,TRIGGR,"Blue, True Wireless",,"₹1,099","₹3,999",4.2,"(2,392)",72% off
299,PTron,"Black, True Wireless","('40hrs', 'hrs')",₹699,"₹2,899",4,(699),75% off
300,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
301,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
302,PTron,"Brown, True Wireless","('34 H', 'H')",₹699,"₹2,899",4,(237),75% off
303,Boult,"Khaki Green, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
304,TRIGGR,"Cobalt Mariner, True Wireless",,"₹1,099","₹3,999",4.2,"(2,392)",72% off
305,OnePlus,"Obsidian Black, True Wireless",,"₹11,999",,4,"(1,514)",
306,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
307,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
308,JBL,"Silver, True Wireless",,"₹14,999","₹24,999",4.2,(294),40% off
309,Mivi,"Emerald Green, True Wireless",,₹999,"₹4,999",4,"(11,406)",80% off
310,Noise,"Navy Grain, True Wireless","('40H', 'H')","₹1,199","₹3,499",4.3,"(1,450)",65% off
311,Boult,"Denim Blue, True Wireless","('48H', 'H')",₹899,"₹2,999",4.1,"(1,32,105)",70% off
312,VMV,"Black, True Wireless","('48H', 'H')",₹420,"₹1,499",4,(8),71% off
