,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
70,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
71,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
72,boAt,"Charcoal Black, True Wireless","('120 Hours', 'Hours')","₹1,589","₹7,990",4.2,"(87,110)",80% off
73,Boult,"Black Gloss, True Wireless","('48H', 'H')","₹1,299","₹3,499",4.1,"(1,21,719)",62% off
74,Nu,"Yellow, True Wireless","('60hrs', 'hrs')","₹1,599","₹4,999",4.6,(115),68% off
75,Noise,"Forest Green, True Wireless","('50H', 'H')","₹1,299","₹3,499",4,"(5,99,343)",62% off
76,HOUSE,"Black, True Wireless",,₹682,"₹1,999",4.1,(35),65% off
77,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
78,boAt,"Black Sabre, True Wireless","('40 H', 'H')","₹1,299","₹3,499",4,"(12,58,722)",62% off
79,Seashot,"Multicolor, True Wireless",,₹480,"₹2,899",4.1,(34),83% off
80,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
81,Aroma,"Electric Blue, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
82,Mivi,"Black, True Wireless",,₹699,"₹3,499",4,"(32,244)",80% off
83,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,973)",85% off
84,realme,"Monet Purple, True Wireless",,"₹1,999","₹3,999",4.3,"(1,18,090)",50% off
85,TOUCH,"White, True Wireless",,₹360,"₹1,099",4.3,(3),67% off
86,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
87,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
88,Noise,"Deep wine, True Wireless","('40 H', 'H')",₹799,"₹3,499",4.1,"(92,255)",77% off
89,house,"White, True Wireless",,₹386,"₹1,999",4.6,(14),80% off
90,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
91,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
92,HOPPUP,"White, True Wireless",,₹699,"₹4,999",4.1,"(5,780)",86% off
93,boAt,"Northern Lights, True Wireless",,"₹2,299","₹13,990",4.2,"(87,110)",83% off
94,realme,"Flame Silver, True Wireless",,"₹2,799","₹5,999",4.4,"(16,235)",53% off
95,OnePlus,"Metallic Gray IN, True Wireless",,"₹4,699","₹6,499",4.5,"(30,346)",27% off
96,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
97,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
98,Aroma,"Galaxy Blue, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
99,realme,"Arctic White, True Wireless",,"₹2,499","₹5,999",4.3,"(40,684)",58% off
100,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
101,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
102,PTron,"Black, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(240),81% off
103,SONY,"Blue, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
104,Boult,"Black, True Wireless","('60H', 'H')","₹1,499","₹3,999",3.9,(99),62% off
105,realme,"Forrest Green, True Wireless",,"₹2,799","₹5,999",4.4,"(16,235)",53% off
106,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
107,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
108,boAt,"Interstellar Green, True Wireless",,"₹1,599","₹6,490",4.1,"(9,708)",75% off
109,boAt,"White, True Wireless","('50 HRS', 'HRS')","₹1,199","₹6,999",4,"(12,58,722)",82% off
110,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
111,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
112,CMF,"Light Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
113,Nu,"Green, True Wireless","('64 hrs', 'hrs')","₹1,499","₹4,999",4.7,(157),70% off
114,boAt,"Black, True Wireless",,"₹1,599","₹6,990",4.1,(963),77% off
115,moto,"Kiwi Green, True Wireless","('42 h', 'h')","₹1,999","₹7,999",4.1,"(7,330)",75% off
116,HOUSE,"Black, True Wireless",,₹682,"₹1,999",4.1,(35),65% off
117,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
118,Pb,"Dark Green, True Wireless",,₹376,"₹1,999",4.1,(8),81% off
119,NECKTECH,"Black, True Wireless",,₹599,"₹1,999",4.7,(3),70% off
120,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
121,Aroma,"Electric Blue, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
122,Mi,"Fusion Black, True Wireless",,"₹2,199","₹4,999",4.1,"(7,560)",56% off
123,TRIGGR,"Black, True Wireless","('40 H', 'H')",₹799,"₹3,999",4,"(12,498)",80% off
124,Boult,"Spring Green, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(49,147)",70% off
125,HOPPUP,"White, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,973)",85% off
126,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
127,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
128,Noise,"Stone Beige, True Wireless","('50H', 'H')","₹1,099","₹3,999",4.1,"(2,505)",72% off
129,truke,"Sunset Black, True Wireless","('60H', 'H')",₹999,"₹3,499",4.1,"(3,220)",71% off
130,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
131,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
132,JBL,"Black, True Wireless","('40H', 'H')","₹6,998","₹16,999",4.3,"(1,120)",58% off
133,boAt,"Northern Lights, True Wireless",,"₹2,299","₹13,990",4.2,"(87,110)",83% off
134,HOPPUP,"Wine, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,973)",85% off
135,truke,"Black, True Wireless","('50H', 'H')",₹799,"₹2,499",4,"(16,340)",68% off
136,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
137,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
138,truke,"PhantomBlack, True Wireless",,₹899,"₹3,499",4.1,"(1,686)",74% off
139,truke,"Green, True Wireless","('60H', 'H')",₹999,"₹3,499",4.1,"(3,220)",71% off
140,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
141,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
142,Mivi,"Green, True Wireless","('50H', 'H')",₹699,"₹3,999",4,"(38,392)",82% off
143,HOPPUP,"White, True Wireless",,₹699,"₹4,999",4.1,"(5,780)",86% off
144,boAt,"Active Teal, True Wireless",,"₹1,199","₹6,990",4,"(19,47,168)",82% off
145,Number,"Glass Blue, True Wireless",,₹799,"₹4,999",4,"(21,438)",84% off
146,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
147,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
148,Mivi,"Nexus Black, True Wireless",,"₹2,199","₹6,499",4,"(1,636)",66% off
149,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
150,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
151,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
152,SAMSUNG,"Graphite, True Wireless",,"₹8,209","₹13,990",4.4,"(10,153)",41% off
153,Boult,"White, True Wireless","('60H', 'H')","₹1,499","₹3,999",3.9,(99),62% off
154,boAt,"Cherry Blossom, True Wireless","('60 hours', 'hours')",₹729,"₹2,990",4,"(19,47,168)",75% off
155,boAt,"Active Black, True Wireless",,₹999,"₹2,490",4,"(11,905)",59% off
156,HOUSE,"Black, True Wireless",,₹682,"₹1,999",4.1,(35),65% off
157,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
158,Mivi,"Majestic Brown, True Wireless",,"₹1,099","₹5,999",4.3,"(10,574)",81% off
159,SONY,"Black, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
160,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
161,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
162,SONY,"Black, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
163,Aroma,"Galaxy Blue, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
164,boAt,"Black Sabre, True Wireless","('40 H', 'H')","₹1,099","₹3,499",4,"(31,871)",68% off
165,boAt,"Rose Quartz, True Wireless","('120HRS', 'HRS')","₹1,999","₹8,999",4.1,"(1,07,333)",77% off
166,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
167,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
168,Noise,"Aura Blue, True Wireless","('60 Hours', 'Hours')","₹1,499","₹4,499",4,"(5,452)",66% off
169,Mi,"Timeless White, True Wireless","('30h', 'h')","₹1,099","₹2,999",4.1,"(7,560)",63% off
170,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
171,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
172,OnePlus,"Green, True Wireless",,"₹7,199","₹13,999",4.4,"(7,845)",48% off
173,SONY,"Blue, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
174,realme,"Royal Violet, True Wireless",,"₹3,299","₹5,999",4.4,"(16,235)",45% off
175,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
176,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
177,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
178,Portronics,"White, True Wireless",,₹677,"₹1,999",4,"(7,844)",66% off
179,Apple,"White, True Wireless",,"₹10,999","₹14,900",4.3,"(1,424)",26% off
180,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
181,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
182,Google,"Bay, True Wireless",,"₹8,990","₹19,900",4.5,"(3,866)",54% off
183,Boult,"Smoky Metal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
184,boAt,"Black, True Wireless",,"₹1,599","₹6,990",4.1,(963),77% off
185,moto,"Coral Peach, True Wireless","('42 h', 'h')","₹1,999","₹7,999",4.1,"(7,330)",75% off
186,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
187,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
188,Mivi,"Black, True Wireless","('45H', 'H')",₹799,"₹2,499",4,"(10,481)",68% off
189,boAt,"Metallic Grey, True Wireless","('50 HRS', 'HRS')","₹1,399","₹6,490",4.1,"(1,12,385)",78% off
190,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
191,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
192,truke,"MidnightSilver, True Wireless","('48H', 'H')",₹799,"₹2,499",4,"(12,252)",68% off
193,boAt,"Interstellar Blue, True Wireless",,"₹1,599","₹6,490",4.1,"(9,708)",75% off
194,truke,"PearlWhite, True Wireless",,₹899,"₹3,499",4.1,"(1,686)",74% off
195,Mi,"Acoustic Black, True Wireless",,"₹1,599","₹4,999",4.1,"(7,560)",68% off
196,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
197,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
198,Boult,"Black, True Wireless","('60H', 'H')","₹1,499","₹3,999",3.9,(99),62% off
199,Mivi,"Iconic Black, True Wireless",,"₹1,499","₹6,499",4,(440),76% off
